site,borough,crashes,observed_rate,expected_rate,base_rate,excess,excess_z,excess_lower_95,latitude,longitude,top_factors
BARTOW AVENUE @ EDSON AVENUE,BRONX,42,0.4762,0.4169,0.3455,0.0392,0.595,-0.0898,40.86832,-73.83317,Failure To Yield Right-Of-Way; Following Too Closely
KINGS HIGHWAY @ SNYDER AVENUE,BROOKLYN,41,0.5366,0.4626,0.3563,0.0538,0.7336,-0.09,40.650517,-73.92359,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
BOSTON ROAD @ EAST TREMONT AVENUE,BRONX,34,0.5588,0.4974,0.3342,0.0413,0.6153,-0.0902,40.84023,-73.880104,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
108 STREET @ LONG ISLAND EXPRESSWAY,QUEENS,32,0.4375,0.3511,0.361,0.0663,0.8281,-0.0906,40.737343,-73.851875,Driver Inattention/Distraction; Following Too Closely
AVENUE OF THE AMERICAS @ WEST 42 STREET,MANHATTAN,59,0.5085,0.4782,0.3557,0.0101,0.1974,-0.0906,40.75484,-73.98412,Driver Inattention/Distraction; Turning Improperly
3 AVENUE @ EAST 163 STREET,BRONX,60,0.5667,0.5331,0.3449,0.0134,0.2519,-0.0906,40.824066,-73.908714,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
AVENUE T @ FLATBUSH AVENUE,BROOKLYN,44,0.5682,0.5042,0.3442,0.0439,0.6389,-0.0907,40.61146,-73.92437,Driver Inattention/Distraction; Traffic Control Disregarded
21 STREET @ 41 AVENUE,QUEENS,31,0.6129,0.5361,0.3424,0.0567,0.7524,-0.0909,40.753994,-73.94244,Driver Inattention/Distraction; Following Too Closely
LEFFERTS BOULEVARD @ SOUTH CONDUIT AVENUE,QUEENS,36,0.4722,0.3923,0.3442,0.0598,0.7767,-0.0911,40.66454,-73.82276,Following Too Closely; Passing Or Lane Usage Improper
FORT WASHINGTON AVENUE @ WEST 165 STREET,MANHATTAN,36,0.5278,0.4697,0.3373,0.0379,0.5756,-0.0912,40.840195,-73.94307,Driver Inattention/Distraction; Following Too Closely
EAST 138 STREET @ EXTERIOR STREET,BRONX,90,0.3667,0.3493,0.3385,-0.0028,-0.0612,-0.092,40.81359,-73.93143,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
NORTHERN BOULEVARD @ UNION STREET,QUEENS,62,0.5806,0.5484,0.3601,0.0121,0.2281,-0.092,40.76394,-73.828156,Failure To Yield Right-Of-Way; Following Too Closely
3 AVENUE @ EAST TREMONT AVENUE,BRONX,62,0.5806,0.551,0.347,0.0095,0.1825,-0.0921,40.846657,-73.89619,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
188 STREET @ GRAND CENTRAL PARKWAY,QUEENS,64,0.4062,0.3675,0.3592,0.0186,0.3289,-0.0923,40.722347,-73.777275,Driver Inattention/Distraction; Following Too Closely
LINDEN BOULEVARD @ VAN SICLEN AVENUE,BROOKLYN,57,0.5439,0.5012,0.3553,0.0225,0.3835,-0.0923,40.660656,-73.885796,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
4 AVENUE @ UNION STREET,BROOKLYN,38,0.5789,0.5211,0.3554,0.0377,0.5678,-0.0923,40.677406,-73.983055,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
3 AVENUE @ EAST 42 STREET,MANHATTAN,40,0.55,0.4941,0.3322,0.0358,0.5467,-0.0924,40.750763,-73.97445,Driver Inattention/Distraction; Other Vehicular
PELHAM PARKWAY NORTH @ WILLIAMSBRIDGE ROAD,UNKNOWN,29,0.5172,0.4185,0.357,0.0786,0.8957,-0.0934,,,Driver Inattention/Distraction; Alcohol Involvement
ATLANTIC AVENUE @ BEDFORD AVENUE,BROOKLYN,58,0.569,0.5316,0.3744,0.0172,0.3039,-0.0937,40.678722,-73.95299,Driver Inattention/Distraction; View Obstructed/Limited
EASTERN PARKWAY @ ROCKAWAY AVENUE,BROOKLYN,53,0.5094,0.464,0.3563,0.0253,0.4164,-0.0937,40.67308,-73.91124,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST FORDHAM ROAD @ SOUTHERN BOULEVARD,BRONX,104,0.4904,0.4778,0.347,-0.0076,-0.1722,-0.0938,40.85713,-73.8808,Driver Inattention/Distraction; Other Vehicular
ATLANTIC AVENUE @ WASHINGTON AVENUE,BROOKLYN,44,0.5682,0.5157,0.378,0.0324,0.5027,-0.0938,40.681118,-73.964424,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST 170 STREET @ JEROME AVENUE,BRONX,31,0.6452,0.5822,0.3421,0.0428,0.6139,-0.0939,40.840225,-73.91769,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
BREWER BOULEVARD @ SOUTH CONDUIT AVENUE,QUEENS,26,0.4615,0.3592,0.3302,0.0822,0.9141,-0.094,40.66696,-73.77078,Driver Inattention/Distraction; Other Vehicular
CHRYSTIE STREET @ GRAND STREET,MANHATTAN,42,0.6667,0.6228,0.3484,0.0237,0.393,-0.0944,40.718143,-73.993835,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
BROADWAY @ WEST 155 STREET,MANHATTAN,30,0.5,0.4189,0.3488,0.061,0.7688,-0.0944,40.832765,-73.945825,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
94 STREET @ ASTORIA BOULEVARD,QUEENS,28,0.5714,0.4864,0.3508,0.0648,0.7973,-0.0945,40.76301,-73.87533,Driver Inattention/Distraction; Following Too Closely
EAST 135 STREET @ WILLIS AVENUE,BRONX,54,0.463,0.4289,0.3457,0.0139,0.2502,-0.0947,40.807186,-73.924286,Passing Or Lane Usage Improper; Traffic Control Disregarded
ALABAMA AVENUE @ LINDEN BOULEVARD,BROOKLYN,30,0.4333,0.3496,0.3528,0.0636,0.787,-0.0948,40.657516,-73.8931,Driver Inattention/Distraction; Alcohol Involvement
AVENUE T @ OCEAN PARKWAY,BROOKLYN,47,0.617,0.5632,0.3673,0.0337,0.5139,-0.0948,40.600082,-73.96591,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
JEWEL AVENUE @ MAIN STREET,QUEENS,25,0.6,0.5112,0.3626,0.0687,0.8232,-0.0948,40.73002,-73.82347,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
BROOKLYN QUEENS EXPRESSWAY @ LONG ISLAND EXPRESSWAY,QUEENS,28,0.4643,0.367,0.3339,0.0771,0.8784,-0.095,40.73442,-73.92238,Driver Inattention/Distraction; Other Vehicular
STORY AVENUE @ WHITE PLAINS ROAD,BRONX,27,0.6296,0.5493,0.3602,0.0602,0.7532,-0.0964,40.824207,-73.858795,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
LENOX AVENUE @ WEST 135 STREET,MANHATTAN,41,0.5366,0.4866,0.3553,0.0298,0.4626,-0.0965,40.814106,-73.94086,Driver Inattention/Distraction; Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
2 AVENUE @ EAST 86 STREET,MANHATTAN,26,0.6538,0.5769,0.3284,0.0568,0.7246,-0.0968,40.777874,-73.95175,Driver Inattention/Distraction; Passing Or Lane Usage Improper
2 AVENUE @ EAST 110 STREET,MANHATTAN,29,0.4483,0.3873,0.3414,0.0408,0.5803,-0.097,40.793186,-73.94057,Driver Inattention/Distraction; Passing Or Lane Usage Improper
1 AVENUE @ EAST 49 STREET,MANHATTAN,37,0.5946,0.5348,0.3458,0.0396,0.5675,-0.0973,40.753242,-73.96662,Driver Inattention/Distraction; Turning Improperly
LINDEN BOULEVARD @ VANWYCK EXPRESSWAY,QUEENS,83,0.4337,0.4128,0.3552,0.0008,0.0159,-0.0976,,,Driver Inattention/Distraction; Following Too Closely
FRESH POND ROAD @ METROPOLITAN AVENUE,QUEENS,48,0.5208,0.4787,0.3378,0.0219,0.3592,-0.0977,40.712696,-73.900604,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
JAMAICA AVENUE @ VANWYCK EXPRESSWAY,UNKNOWN,57,0.4561,0.4201,0.3545,0.0159,0.2734,-0.0979,,,Driver Inattention/Distraction; Following Too Closely
70 STREET @ QUEENS BOULEVARD,QUEENS,35,0.5714,0.5014,0.3444,0.0499,0.6614,-0.098,40.739964,-73.89424,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST 188 STREET @ GRAND CONCOURSE,BRONX,31,0.6129,0.5515,0.3506,0.0413,0.5804,-0.0981,40.86135,-73.89774,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
7 AVENUE @ WEST 57 STREET,MANHATTAN,29,0.4828,0.412,0.3489,0.0506,0.6668,-0.0981,40.76552,-73.98004,Driver Inattention/Distraction; Following Too Closely
ALLERTON AVENUE @ BRONX PARK EAST,BRONX,46,0.413,0.3686,0.3357,0.0243,0.3868,-0.0988,40.86536,-73.87043,Driver Inattention/Distraction; Following Too Closely
FOCH BOULEVARD @ VANWYCK EXPRESSWAY,QUEENS,26,0.5,0.4018,0.3546,0.078,0.8642,-0.0989,40.67794,-73.8023,Driver Inattention/Distraction; Following Too Closely
157 AVENUE @ CROSS BAY BOULEVARD,QUEENS,32,0.5938,0.5273,0.3533,0.0462,0.6227,-0.0993,40.66252,-73.84071,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
ROCKAWAY PARKWAY @ SEAVIEW AVENUE,BROOKLYN,70,0.5286,0.5018,0.3613,0.0066,0.1214,-0.0993,40.6338,-73.8897,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CANAL STREET @ LAFAYETTE STREET,MANHATTAN,46,0.3478,0.3116,0.3454,0.016,0.2714,-0.0996,40.71843,-74.000534,Driver Inattention/Distraction; Passing Or Lane Usage Improper
BEDFORD AVENUE @ LINDEN BOULEVARD,BROOKLYN,27,0.6667,0.5943,0.3554,0.0522,0.6721,-0.1,40.652313,-73.95602,Driver Inattention/Distraction; Passing Or Lane Usage Improper
EAST FORDHAM ROAD @ MARION AVENUE,BRONX,34,0.6176,0.5633,0.3469,0.0342,0.4986,-0.1003,40.861828,-73.89286,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
NORTHERN BOULEVARD @ PARSONS BOULEVARD,QUEENS,49,0.551,0.5129,0.3499,0.018,0.2976,-0.1003,40.76465,-73.823494,Failure To Yield Right-Of-Way; Following Too Closely
BORDEN AVENUE @ VAN DAM STREET,QUEENS,35,0.5143,0.4397,0.3497,0.0544,0.6886,-0.1005,40.73749,-73.93508,Driver Inattention/Distraction; Passing Or Lane Usage Improper
BROOK AVENUE @ EAST 138 STREET,BRONX,27,0.6296,0.5664,0.3432,0.0431,0.5868,-0.1008,40.807552,-73.91922,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
BRUCKNER BOULEVARD @ WHITE PLAINS ROAD,BRONX,115,0.4348,0.4358,0.3464,-0.0212,-0.5196,-0.101,40.826275,-73.85971,Driver Inattention/Distraction; Other Vehicular
GLENWOOD ROAD @ UTICA AVENUE,BROOKLYN,40,0.55,0.4885,0.3564,0.0413,0.5685,-0.1011,40.635185,-73.92862,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
BRUCKNER BOULEVARD @ ZEREGA AVENUE,BRONX,67,0.3731,0.3485,0.3516,0.0045,0.0834,-0.1012,40.827732,-73.84374,Driver Inattention/Distraction; Other Vehicular
AVENUE R @ OCEAN PARKWAY,BROOKLYN,27,0.5926,0.5103,0.3658,0.0621,0.7447,-0.1014,40.6048,-73.966805,Failure To Yield Right-Of-Way; Aggressive Driving/Road Rage
6 AVENUE @ 65 STREET,BROOKLYN,66,0.4394,0.4194,0.3611,-0.0002,-0.0038,-0.1015,40.63552,-74.0167,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST 161 STREET @ GRAND CONCOURSE,BRONX,41,0.5122,0.4664,0.3476,0.0256,0.393,-0.1021,40.826836,-73.92263,Driver Inattention/Distraction; Unsafe Speed
116 AVENUE @ SUTPHIN BOULEVARD,QUEENS,27,0.4815,0.4069,0.342,0.0544,0.6808,-0.1022,40.682568,-73.79266,Driver Inattention/Distraction; Passing Too Closely
EAST 34 STREET @ PARK AVENUE,MANHATTAN,40,0.525,0.4808,0.3542,0.024,0.3727,-0.1022,40.747078,-73.981346,Driver Inattention/Distraction; Passing Or Lane Usage Improper
ROCKAWAY PARKWAY @ SHORE PARKWAY,BROOKLYN,111,0.4955,0.4925,0.369,-0.0172,-0.3939,-0.1027,40.63082,-73.88636,Driver Inattention/Distraction; Turning Improperly
EAST 96 STREET @ FDR DRIVE,MANHATTAN,27,0.4074,0.3324,0.337,0.0548,0.6821,-0.1027,40.782887,-73.9439,Driver Inattention/Distraction; Following Too Closely
EAST 39 STREET @ PARK AVENUE,MANHATTAN,25,0.52,0.4305,0.3252,0.0694,0.7879,-0.1032,40.750217,-73.979065,Driver Inattention/Distraction; Driver Inexperience
SAINT NICHOLAS AVENUE @ WEST 145 STREET,MANHATTAN,32,0.4688,0.4098,0.3443,0.0387,0.5349,-0.1032,40.82403,-73.94476,Driver Inattention/Distraction; Other Vehicular
12 AVENUE @ WEST 57 STREET,MANHATTAN,38,0.3684,0.3183,0.3482,0.03,0.4408,-0.1033,40.77146,-73.994354,Driver Inattention/Distraction; Following Too Closely
METROPOLITAN AVENUE @ WOODHAVEN BOULEVARD,QUEENS,49,0.5102,0.4733,0.3441,0.0167,0.2729,-0.1034,40.711845,-73.859764,Failure To Yield Right-Of-Way; Following Too Closely
WESTCHESTER AVENUE @ WHITLOCK AVENUE,BRONX,52,0.4615,0.4288,0.3421,0.0126,0.2124,-0.1034,40.827656,-73.8861,Driver Inattention/Distraction; Traffic Control Disregarded
KINGS HIGHWAY @ LINDEN BOULEVARD,BROOKLYN,50,0.48,0.4346,0.3658,0.0252,0.3842,-0.1035,40.654316,-73.922165,Driver Inattention/Distraction; Unsafe Speed
2 AVENUE @ EAST 96 STREET,MANHATTAN,44,0.4773,0.4373,0.3446,0.0198,0.3147,-0.1037,40.784245,-73.9471,Driver Inattention/Distraction; Other Vehicular
EAST FORDHAM ROAD @ VALENTINE AVENUE,BRONX,28,0.6786,0.6184,0.3497,0.04,0.5439,-0.1041,40.86226,-73.89589,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
AVENUE OF THE AMERICAS @ WEST 34 STREET,MANHATTAN,42,0.5714,0.5328,0.3525,0.0184,0.2943,-0.1042,40.749786,-73.98778,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
AVENUE D @ ROCKAWAY AVENUE,BROOKLYN,41,0.5122,0.4636,0.374,0.0285,0.4203,-0.1043,40.65133,-73.90607,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST 98 STREET @ KINGS HIGHWAY,BROOKLYN,25,0.56,0.4682,0.3703,0.0717,0.7976,-0.1044,40.661995,-73.9196,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
101 AVENUE @ WOODHAVEN BOULEVARD,QUEENS,39,0.5385,0.477,0.3519,0.0413,0.5554,-0.1044,40.68424,-73.8461,Driver Inattention/Distraction; Turning Improperly
JEROME AVENUE @ WEST FORDHAM ROAD,BRONX,32,0.6562,0.6015,0.3457,0.0346,0.4871,-0.1045,40.862755,-73.901085,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST 23 STREET @ PARK AVENUE SOUTH,MANHATTAN,28,0.5,0.4327,0.3454,0.0471,0.6091,-0.1046,40.740185,-73.986374,Driver Inattention/Distraction; Pavement Slippery
JAMAICA AVENUE @ PENNSYLVANIA AVENUE,BROOKLYN,99,0.3838,0.3796,0.3477,-0.016,-0.3522,-0.1049,40.67816,-73.897484,Driver Inattention/Distraction; Unsafe Speed
ALLEN STREET @ DELANCEY STREET,MANHATTAN,88,0.4205,0.4157,0.3488,-0.0154,-0.3343,-0.1055,40.719204,-73.99037,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST 138 STREET @ GERARD AVENUE,BRONX,26,0.4231,0.3415,0.3469,0.0615,0.7188,-0.1061,40.813587,-73.931046,Driver Inattention/Distraction; Turning Improperly
EAST 163 STREET @ SOUTHERN BOULEVARD,BRONX,30,0.5333,0.4653,0.3567,0.0478,0.6088,-0.1062,40.820984,-73.891624,Driver Inattention/Distraction; Following Too Closely
EAST 80 STREET @ FLATLANDS AVENUE,BROOKLYN,47,0.5319,0.5037,0.3705,0.0081,0.1383,-0.1062,40.635506,-73.913284,Driver Inattention/Distraction; Turning Improperly
FLATLANDS AVENUE @ PENNSYLVANIA AVENUE,BROOKLYN,80,0.4375,0.4243,0.3604,-0.0069,-0.1371,-0.1062,40.652767,-73.8863,Driver Inattention/Distraction; Following Too Closely
CROSS ISLAND PARKWAY @ HILLSIDE AVENUE,QUEENS,67,0.4179,0.3937,0.3678,0.0041,0.072,-0.1071,40.734234,-73.72275,Following Too Closely; Driver Inattention/Distraction
LIBERTY AVENUE @ PENNSYLVANIA AVENUE,BROOKLYN,64,0.4688,0.4466,0.3513,0.002,0.035,-0.1075,40.674397,-73.896515,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
LINDEN BOULEVARD @ ROCKAWAY AVENUE,BROOKLYN,83,0.4458,0.4339,0.3707,-0.0083,-0.1637,-0.1077,40.65474,-73.90693,Driver Inattention/Distraction; Unsafe Lane Changing
LENOX AVENUE @ WEST 145 STREET,MANHATTAN,47,0.5319,0.5023,0.3562,0.0095,0.1587,-0.1078,40.82044,-73.936226,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
85 STREET @ NORTHERN BOULEVARD,QUEENS,29,0.5172,0.4513,0.3343,0.0458,0.5821,-0.1084,40.75585,-73.88259,Driver Inattention/Distraction; Turning Improperly
EAST TREMONT AVENUE @ PARK AVENUE,BRONX,44,0.5682,0.5326,0.3359,0.0154,0.2435,-0.1087,40.847366,-73.899506,Driver Inattention/Distraction; Other Vehicular
EAST 106 STREET @ PARK AVENUE,MANHATTAN,53,0.5472,0.5244,0.3552,0.0026,0.0453,-0.1088,40.79293,-73.94791,Traffic Control Disregarded; Driver Inattention/Distraction
BROADWAY @ WEST 178 STREET,MANHATTAN,25,0.44,0.3667,0.3274,0.0531,0.6422,-0.1089,40.848392,-73.93767,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CROSS BRONX EXPRESSWAY @ ROSEDALE AVENUE,BRONX,117,0.3675,0.3735,0.3447,-0.0262,-0.6177,-0.1092,40.835968,-73.87,Driver Inattention/Distraction; Following Too Closely
43 STREET @ QUEENS BOULEVARD,QUEENS,33,0.697,0.6487,0.3459,0.0281,0.4003,-0.1093,40.74348,-73.921486,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST TREMONT AVENUE @ WEBSTER AVENUE,BRONX,50,0.58,0.558,0.3489,0.0018,0.0314,-0.1095,40.8477,-73.90097,Driver Inattention/Distraction; Other Vehicular
AVENUE V @ FLATBUSH AVENUE,BROOKLYN,77,0.4156,0.4007,0.3658,-0.0053,-0.0992,-0.1096,40.6082,-73.920715,Driver Inattention/Distraction; Passing Or Lane Usage Improper
BEDFORD PARK BOULEVARD @ SOUTHERN BOULEVARD,BRONX,25,0.56,0.4714,0.3491,0.0684,0.7494,-0.1105,40.86609,-73.88268,Driver Inattention/Distraction; Following Too Closely
ROCKAWAY BOULEVARD @ WOODHAVEN BOULEVARD,QUEENS,32,0.5312,0.4684,0.3493,0.0427,0.5462,-0.1105,40.6807,-73.84465,Driver Inattention/Distraction; Following Too Closely
CLARENDON ROAD @ UTICA AVENUE,BROOKLYN,42,0.5714,0.5265,0.3691,0.0247,0.3573,-0.111,40.644432,-73.9296,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CROSS BRONX EXPRESSWAY @ WESTCHESTER AVENUE,BRONX,28,0.5,0.4289,0.3601,0.0509,0.6162,-0.1111,,,Driver Inattention/Distraction; Passing Or Lane Usage Improper
BAISLEY BOULEVARD @ MERRICK BOULEVARD,QUEENS,33,0.4545,0.3959,0.3497,0.0385,0.5034,-0.1113,40.683784,-73.76974,Driver Inattention/Distraction; Passing Or Lane Usage Improper
BRUCKNER BOULEVARD @ HUNTS POINT AVENUE,BRONX,163,0.3742,0.3956,0.3454,-0.0416,-1.1637,-0.1116,40.820187,-73.890686,Driver Inattention/Distraction; Following Too Closely
ATLANTIC AVENUE @ HIGHLAND PLACE,BROOKLYN,25,0.44,0.3575,0.3481,0.0623,0.7006,-0.112,40.679108,-73.88062,Driver Inattention/Distraction; Following Too Closely
GRAND CENTRAL PARKWAY @ LONG ISLAND EXPRESSWAY,QUEENS,81,0.4074,0.3979,0.3685,-0.0107,-0.2062,-0.1125,40.739708,-73.84544,Driver Inattention/Distraction; Following Too Closely
153 LANE @ SOUTH CONDUIT AVENUE,QUEENS,27,0.4815,0.3991,0.3537,0.0622,0.6974,-0.1126,40.666397,-73.785,Driver Inattention/Distraction; Passing Or Lane Usage Improper
LINDEN BOULEVARD @ WILLIAMS AVENUE,BROOKLYN,39,0.4359,0.3868,0.3708,0.0289,0.3992,-0.1131,40.657814,-73.89613,Driver Inattention/Distraction; Traffic Control Disregarded
EAST 180 STREET @ WEBSTER AVENUE,BRONX,39,0.4615,0.4248,0.3513,0.0165,0.2499,-0.1131,40.852306,-73.89811,Driver Inattention/Distraction; Other Vehicular
LENOX AVENUE @ WEST 129 STREET,MANHATTAN,25,0.44,0.3761,0.336,0.0438,0.5465,-0.1132,40.810318,-73.943634,Other Vehicular; Driver Inattention/Distraction
AMSTERDAM AVENUE @ WEST 145 STREET,MANHATTAN,30,0.6667,0.614,0.3599,0.0325,0.4363,-0.1136,40.825233,-73.9476,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EASTERN PARKWAY @ WASHINGTON AVENUE,BROOKLYN,40,0.55,0.5041,0.3713,0.0257,0.3599,-0.1143,40.671623,-73.96257,Driver Inattention/Distraction; Following Too Closely
ARDEN AVENUE @ DRUMGOOLE ROAD EAST,STATEN ISLAND,36,0.5278,0.4659,0.3368,0.0417,0.5242,-0.1143,40.54653,-74.180435,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
150 STREET @ HILLSIDE AVENUE,QUEENS,28,0.5714,0.4993,0.3599,0.052,0.6126,-0.1144,40.706635,-73.80659,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST 163 STREET @ SIMPSON STREET,BRONX,33,0.4242,0.3797,0.3573,0.0243,0.3428,-0.1148,40.820972,-73.892845,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
SOUTH CONDUIT AVENUE @ SPRINGFIELD BOULEVARD,QUEENS,40,0.45,0.409,0.3519,0.0208,0.3007,-0.115,40.665634,-73.75817,Driver Inattention/Distraction; Unsafe Speed
2 AVENUE @ EAST 36 STREET,MANHATTAN,46,0.4783,0.4511,0.3496,0.007,0.1123,-0.1154,40.74608,-73.974945,Driver Inattention/Distraction; Traffic Control Disregarded
BRADLEY AVENUE @ STATEN ISLAND EXPRESSWAY,STATEN ISLAND,27,0.5185,0.4397,0.3504,0.0586,0.6588,-0.1158,40.608154,-74.1321,Driver Inattention/Distraction; Unsafe Speed
3 AVENUE @ EAST 168 STREET,BRONX,33,0.6667,0.6265,0.3604,0.02,0.2891,-0.1158,40.831055,-73.905846,Failure To Yield Right-Of-Way; Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
HILLSIDE AVENUE @ VANWYCK EXPRESSWAY,QUEENS,54,0.3519,0.3288,0.3448,0.0029,0.0474,-0.1159,40.70403,-73.81711,Driver Inattention/Distraction; Passing Or Lane Usage Improper
BROADWAY @ CANAL STREET,MANHATTAN,43,0.3488,0.3231,0.3398,0.0055,0.0888,-0.1164,40.719395,-74.00189,Driver Inattention/Distraction; Driver Inexperience
10 AVENUE @ WEST 202 STREET,MANHATTAN,25,0.44,0.3709,0.3599,0.049,0.5783,-0.1169,40.86131,-73.921234,Driver Inattention/Distraction; Traffic Control Disregarded
FRANCIS LEWIS BOULEVARD @ GRAND CENTRAL PARKWAY,QUEENS,59,0.4746,0.4516,0.3595,0.0028,0.0461,-0.117,40.726326,-73.7662,Driver Inattention/Distraction; Following Too Closely
EAST 175 STREET @ JEROME AVENUE,BRONX,27,0.4815,0.4165,0.3456,0.0448,0.5416,-0.1173,40.84768,-73.91237,Driver Inattention/Distraction; Unsafe Speed
CHURCH AVENUE @ ROCKAWAY PARKWAY,BROOKLYN,27,0.6667,0.5994,0.3774,0.0471,0.5606,-0.1176,40.65621,-73.914665,Driver Inattention/Distraction; Alcohol Involvement
50 STREET @ QUEENS BOULEVARD,QUEENS,25,0.64,0.5739,0.3412,0.0459,0.55,-0.1177,40.74273,-73.91499,Driver Inattention/Distraction; Alcohol Involvement
ARTHUR KILL ROAD @ DRUMGOOLE ROAD WEST,STATEN ISLAND,43,0.5349,0.4981,0.338,0.0166,0.2419,-0.1177,40.56152,-74.17186,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CHRISTOPHER LANE @ VICTORY BOULEVARD,STATEN ISLAND,30,0.4667,0.4063,0.3321,0.0402,0.4983,-0.118,40.608433,-74.15544,Driver Inattention/Distraction; Following Too Closely
RICHMOND AVENUE @ RICHMOND HILL ROAD,STATEN ISLAND,41,0.5122,0.4655,0.3446,0.0266,0.36,-0.1181,40.588955,-74.167595,Driver Inattention/Distraction; Traffic Control Disregarded
12 AVENUE @ WEST 30 STREET,MANHATTAN,31,0.3226,0.2913,0.3482,0.0112,0.1685,-0.1186,40.75449,-74.006744,Passing Too Closely; Following Too Closely
ROEBLING STREET @ SOUTH 4 STREET,BROOKLYN,28,0.6786,0.637,0.3502,0.0214,0.2993,-0.1187,40.710785,-73.95995,Driver Inattention/Distraction; Traffic Control Disregarded
BEDFORD AVENUE @ EMPIRE BOULEVARD,BROOKLYN,31,0.7097,0.6684,0.3821,0.0211,0.2952,-0.1191,40.663517,-73.957214,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
3 AVENUE @ EAST 63 STREET,MANHATTAN,26,0.5,0.4446,0.3449,0.0352,0.4464,-0.1194,40.764055,-73.96476,Driver Inattention/Distraction; Other Vehicular
BRUCKNER BOULEVARD @ ROSEDALE AVENUE,BRONX,44,0.5455,0.5182,0.3417,0.0071,0.1098,-0.12,40.8252,-73.867714,Driver Inattention/Distraction; Traffic Control Disregarded
CHAMBERS STREET @ WEST STREET,MANHATTAN,30,0.5667,0.5168,0.3448,0.0297,0.3886,-0.1201,40.717175,-74.01288,Driver Inattention/Distraction; Unsafe Speed
UNION TURNPIKE @ UTOPIA PARKWAY,QUEENS,27,0.5556,0.487,0.3413,0.0483,0.5625,-0.1201,40.72579,-73.79175,Driver Inattention/Distraction; Following Too Closely
48 STREET @ LAUREL HILL BOULEVARD,QUEENS,38,0.4737,0.437,0.3373,0.0165,0.2366,-0.1202,40.735413,-73.91835,Driver Inattention/Distraction; Driver Inexperience
FULTON STREET @ NOSTRAND AVENUE,BROOKLYN,47,0.5532,0.5334,0.3757,-0.0004,-0.0064,-0.1202,40.68039,-73.949554,Driver Inattention/Distraction; Traffic Control Disregarded
183 STREET @ LIBERTY AVENUE,QUEENS,26,0.5,0.4329,0.3522,0.0469,0.5494,-0.1204,40.70537,-73.775826,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CHURCH AVENUE @ OCEAN AVENUE,BROOKLYN,33,0.5455,0.5033,0.3692,0.022,0.3018,-0.1208,40.65008,-73.96101,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
79 STREET @ LINDEN BOULEVARD,QUEENS,45,0.5111,0.4894,0.3497,0.0016,0.0251,-0.1209,40.670403,-73.85629,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CLEARVIEW EXPRESSWAY @ NORTHERN BOULEVARD,QUEENS,63,0.4127,0.3986,0.3709,-0.0061,-0.1038,-0.1213,40.75815,-73.777664,Driver Inattention/Distraction; Following Too Closely
