site,borough,crashes,observed_rate,expected_rate,base_rate,excess,excess_z,excess_lower_95,latitude,longitude,top_factors
109 AVENUE @ VANWYCK EXPRESSWAY,UNKNOWN,29,0.6552,0.4999,0.3629,0.1351,1.6089,-0.0295,,,Driver Inattention/Distraction; Traffic Control Disregarded
ASHFORD STREET @ LINDEN BOULEVARD,BROOKLYN,90,0.6,0.518,0.3669,0.0618,1.3268,-0.0295,40.66278,-73.88086,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
HYLAN BOULEVARD @ NEW DORP LANE,STATEN ISLAND,98,0.5306,0.4535,0.3404,0.0569,1.2907,-0.0295,40.570465,-74.10977,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CENTRAL PARK WEST @ WEST 65 STREET,MANHATTAN,34,0.7353,0.6063,0.3409,0.1088,1.5399,-0.0297,40.77178,-73.9792,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CHRYSTIE STREET @ DELANCEY STREET,MANHATTAN,71,0.6197,0.5339,0.357,0.0657,1.3341,-0.0308,40.71997,-73.992905,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CANAL STREET @ GREENE STREET,MANHATTAN,28,0.4643,0.3218,0.3384,0.1223,1.5639,-0.031,40.720375,-74.003265,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
AVENUE I @ FLATBUSH AVENUE,BROOKLYN,26,0.6923,0.5441,0.3838,0.128,1.5733,-0.0315,40.629505,-73.94416,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST 176 STREET @ GRAND CONCOURSE,BRONX,41,0.6341,0.5142,0.3524,0.0997,1.4822,-0.0321,40.847813,-73.90754,Driver Inattention/Distraction; Traffic Control Disregarded
COURTLANDT AVENUE @ EAST 149 STREET,BRONX,44,0.5455,0.4366,0.3357,0.0887,1.4347,-0.0325,40.81655,-73.91955,Driver Inattention/Distraction; Passing Or Lane Usage Improper
ATLANTIC AVENUE @ ROCKAWAY AVENUE,BROOKLYN,65,0.5846,0.4889,0.37,0.0755,1.3697,-0.0326,40.676342,-73.910934,Driver Inattention/Distraction; Traffic Control Disregarded
KENT AVENUE @ WILLIAMSBURG STREET WEST,BROOKLYN,40,0.425,0.3088,0.342,0.096,1.4589,-0.033,40.700497,-73.962555,Driver Inattention/Distraction; Passing Or Lane Usage Improper
EASTCHESTER ROAD @ PELHAM PARKWAY,BRONX,68,0.5882,0.4968,0.3611,0.0713,1.3393,-0.033,40.857136,-73.843796,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
AMSTERDAM AVENUE @ WEST 181 STREET,MANHATTAN,81,0.4321,0.3524,0.3549,0.0595,1.2594,-0.0331,40.848119,-73.930888,Driver Inattention/Distraction; Following Too Closely
LINDEN BOULEVARD @ NOSTRAND AVENUE,BROOKLYN,33,0.6667,0.5318,0.3634,0.1147,1.5145,-0.0337,40.65264,-73.949776,Driver Inattention/Distraction; Following Too Closely
4 AVENUE @ SHORE ROAD DRIVE,BROOKLYN,27,0.6296,0.4755,0.3665,0.134,1.5644,-0.0339,40.63721,-74.02221,Driver Inattention/Distraction; Following Too Closely
AVENUE H @ FLATBUSH AVENUE,BROOKLYN,40,0.675,0.5689,0.3561,0.086,1.4044,-0.034,40.631706,-73.94649,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
12 AVENUE @ WEST 56 STREET,MANHATTAN,46,0.4783,0.3632,0.3482,0.0949,1.4427,-0.034,40.77074,-73.99455,Driver Inattention/Distraction; Passing Or Lane Usage Improper
WEST HOUSTON STREET @ WEST STREET,MANHATTAN,25,0.6,0.443,0.3451,0.1368,1.5617,-0.0349,40.72911,-74.01068,Driver Inattention/Distraction; Following Too Closely
SKILLMAN AVENUE @ THOMSON AVENUE,QUEENS,38,0.6053,0.4747,0.3376,0.1104,1.4872,-0.0351,40.745235,-73.937706,Driver Inattention/Distraction; Traffic Control Disregarded
31 STREET @ BROADWAY,QUEENS,28,0.7143,0.5753,0.3577,0.1189,1.5132,-0.0351,40.76197,-73.92539,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
AVENUE U @ FLATBUSH AVENUE,BROOKLYN,88,0.5455,0.4687,0.373,0.0566,1.1975,-0.036,40.60981,-73.92251,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
ATLANTIC AVENUE @ CARLTON AVENUE,BROOKLYN,36,0.5833,0.4589,0.3812,0.1043,1.455,-0.0362,40.682423,-73.97069,Driver Inattention/Distraction; Unsafe Lane Changing
CROSS ISLAND PARKWAY @ LINDEN BOULEVARD,QUEENS,104,0.5288,0.4549,0.3415,0.0538,1.1706,-0.0362,40.69078,-73.72728,Driver Inattention/Distraction; Following Too Closely
ATLANTIC AVENUE @ WOODHAVEN BOULEVARD,QUEENS,70,0.5,0.4097,0.3538,0.0701,1.2909,-0.0363,40.68815,-73.84884,Failure To Yield Right-Of-Way; Traffic Control Disregarded
CROSS BRONX EXPRESSWAY @ JEROME AVENUE,BRONX,104,0.4808,0.4106,0.3351,0.05,1.126,-0.037,40.845177,-73.91417,Driver Inattention/Distraction; Following Too Closely
AVENUE M @ OCEAN PARKWAY,BROOKLYN,41,0.7073,0.5919,0.3864,0.0953,1.4077,-0.0374,40.617004,-73.96912,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
BRUCKNER BOULEVARD @ EAST 149 STREET,BRONX,56,0.4464,0.3486,0.3356,0.0777,1.323,-0.0374,40.8097,-73.90304,Driver Inattention/Distraction; Turning Improperly
BRADHURST AVENUE @ WEST 145 STREET,MANHATTAN,25,0.68,0.5335,0.35,0.1264,1.5116,-0.0375,40.823257,-73.94293,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
2 AVENUE @ EAST 97 STREET,MANHATTAN,25,0.64,0.5023,0.3485,0.1176,1.4811,-0.038,40.784943,-73.946594,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
FARMERS BOULEVARD @ ROCKAWAY BOULEVARD,QUEENS,60,0.5167,0.4204,0.3464,0.0761,1.2985,-0.0388,40.65965,-73.773834,Driver Inattention/Distraction; Turning Improperly
BRONX RIVER PARKWAY @ EAST GUN HILL ROAD,BRONX,101,0.5149,0.4474,0.3482,0.0473,1.0756,-0.0389,40.87829,-73.87006,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST 222 STREET @ WHITE PLAINS ROAD,BRONX,29,0.7931,0.6694,0.3691,0.1035,1.4221,-0.0392,40.885693,-73.86164,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CORTELYOU ROAD @ OCEAN PARKWAY,BROOKLYN,50,0.68,0.575,0.3633,0.0849,1.337,-0.0395,40.638523,-73.97319,Driver Inattention/Distraction; Following Too Closely
SOUTHERN BOULEVARD @ WESTCHESTER AVENUE,BRONX,45,0.6667,0.5703,0.3416,0.0762,1.2862,-0.0399,40.824654,-73.89194,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
CITY ISLAND ROAD @ SHORE ROAD,BRONX,35,0.5714,0.4423,0.3495,0.109,1.4344,-0.0399,40.864655,-73.813866,Driver Inattention/Distraction; Other Vehicular
2 AVENUE @ EAST 38 STREET,MANHATTAN,32,0.75,0.6293,0.3423,0.1005,1.3981,-0.0404,40.747295,-73.97405,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
WHITE PLAINS ROAD @ WOOD AVENUE,BRONX,29,0.7241,0.5923,0.359,0.1116,1.433,-0.0411,40.83553,-73.86317,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
175 STREET @ JAMAICA AVENUE,QUEENS,27,0.6667,0.5383,0.3655,0.1082,1.4159,-0.0416,40.707935,-73.78569,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
EAST 241 STREET @ WHITE PLAINS ROAD,BRONX,26,0.6538,0.517,0.3443,0.1167,1.4438,-0.0417,40.90348,-73.85035,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
GRAND CENTRAL PARKWAY @ JEWEL AVENUE,QUEENS,108,0.5,0.4348,0.3652,0.045,1.0156,-0.0418,40.725857,-73.83737,Driver Inattention/Distraction; Following Too Closely
FLUSHING AVENUE @ WASHINGTON AVENUE,BROOKLYN,25,0.84,0.7191,0.3575,0.1007,1.3801,-0.0423,40.697716,-73.967735,Failure To Yield Right-Of-Way; Driver Inattention/Distraction
BORDEN AVENUE @ GREENPOINT AVENUE,QUEENS,62,0.5323,0.4423,0.3418,0.0698,1.2191,-0.0424,40.73715,-73.930824,Driver Inattention/Distraction; Traffic Control Disregarded
